id,latitude,longitude,zipcode,accommodates,bathrooms,bedrooms,beds,nightly_price,price_per_stay,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,host_id,host_total_listings_count,number_of_reviews,number_of_stays,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,requires_license,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification
18006563,32.61729,-116.95525,91915,10,3.0,4.0,4.0,249.0,498.0,100.0,70.0,10,20.0,2,1125,118768641,5.0,110,220,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
25019042,32.77436,-117.2508,92109,10,2.0,4.0,6.0,495.0,495.0,0.0,305.0,6,0.0,1,365,88168913,168.0,9,18,96.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1,0,0,0
16322086,32.74275,-117.22109,92106,10,3.0,4.0,5.0,241.0,482.0,750.0,175.0,1,0.0,2,1125,52702934,1.0,10,20,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,0,0,0,0
24359633,32.7087,-117.15143,92101,10,2.0,2.0,8.0,240.0,480.0,300.0,110.0,6,30.0,2,1125,79310439,16.0,8,16,80.0,8.0,8.0,10.0,10.0,8.0,8.0,0,1,0,0,0
17975433,32.84374,-117.26622,92037,10,4.5,5.0,5.0,458.0,458.0,1000.0,599.0,10,0.0,1,1125,122055416,403.0,8,16,95.0,10.0,8.0,10.0,10.0,10.0,9.0,0,1,0,0,0
25593110,32.82396,-117.17292,92117,10,2.0,4.0,7.0,458.0,458.0,0.0,204.0,10,0.0,1,90,121958709,5.0,54,108,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,0,0,0
22277830,32.83129,-117.2749,92037,10,3.0,4.0,4.0,453.0,453.0,1000.0,499.0,10,0.0,1,1125,122055416,403.0,6,12,70.0,9.0,6.0,7.0,7.0,10.0,7.0,0,1,0,0,0
10037835,32.71236,-117.15163,92101,10,1.0,3.0,6.0,226.0,452.0,0.0,199.0,10,0.0,2,28,26542025,36.0,60,120,89.0,9.0,9.0,10.0,10.0,9.0,9.0,0,1,0,0,0
8071151,32.85771,-117.1931,92122,10,2.0,3.0,6.0,225.0,450.0,500.0,300.0,8,50.0,2,1125,32344776,3.0,156,312,97.0,10.0,9.0,10.0,10.0,10.0,9.0,0,1,0,0,0
19659007,32.83619,-117.17328,92117,10,2.0,5.0,5.0,450.0,450.0,0.0,100.0,1,0.0,1,1125,111151667,1.0,1,2,100.0,10.0,10.0,10.0,10.0,6.0,10.0,0,1,0,0,0
4429558,32.72425,-117.16276,92101,10,2.0,5.0,5.0,449.0,449.0,420.0,140.0,10,0.0,1,1125,1315611,9.0,26,52,93.0,9.0,10.0,10.0,10.0,10.0,9.0,0,0,0,0,0
23309975,32.71069,-117.14979,92101,10,3.0,3.0,7.0,449.0,449.0,200.0,125.0,1,0.0,1,1125,17981722,73.0,69,138,86.0,9.0,9.0,9.0,9.0,10.0,9.0,0,1,0,0,0
23310164,32.70894,-117.14975,92101,10,3.0,3.0,7.0,449.0,449.0,200.0,125.0,1,0.0,1,1125,17981722,73.0,64,128,90.0,9.0,9.0,9.0,9.0,9.0,9.0,0,1,0,0,0
32695351,32.74083,-117.07809,92105,10,2.0,4.0,4.0,209.0,418.0,250.0,160.0,1,0.0,2,1125,162594549,3.0,17,34,92.0,9.0,10.0,10.0,9.0,10.0,9.0,0,1,0,0,0
19699773,32.79838,-117.25363,92109,10,3.5,4.0,5.0,410.0,410.0,1000.0,449.0,10,0.0,1,1125,122055416,403.0,5,10,96.0,10.0,10.0,10.0,9.0,10.0,10.0,0,1,0,0,0
